Index,Province,length2000,length2001,length2002,length2003,length2004,length2005,length2006,length2007,length2008,length2009,length2010,length2011,length2012,length2013,length2014,length2015,length2016,length2017,length2018
0,Anhui,500,600,900,1100,1300,1500,1700,2200,2500,2800,2900,3000,3200,3500,3800,4200,4500,4700,4800
1,Beijing,300,300,500,500,500,500,600,600,800,900,900,900,900,900,1000,1000,1000,1000,1100
2,Fujian,300,400,600,700,1000,1200,1200,1400,1800,2000,2400,2700,3400,3900,4100,4800,4800,5000,5200
3,Gansu,0,0,300,300,700,1000,1100,1300,1300,1600,2000,2300,2500,3000,3300,3500,4800,4000,4200
4,Guangdong,1200,1500,1700,2300,2500,3100,3300,3500,3800,4000,4800,5000,5500,5700,6300,7000,7700,8300,9000
5,Guangxi,800,800,800,1000,1200,1400,1500,1900,2200,2400,2600,2800,2900,3300,3700,4300,4600,5300,5600
6,Guizhou,300,300,300,300,400,600,700,900,900,1200,1500,2000,2600,3300,4000,5100,5400,5800,6500
7,Hainan,600,600,600,600,600,600,600,600,700,700,700,700,800,800,800,800,800,800,900
8,Hebei,1500,1600,1600,1700,1700,2100,2300,2900,3200,3300,4300,4800,5100,5600,5900,6300,6500,6500,7300
9,Henan,500,1100,1200,1400,1800,2700,3400,4600,4800,4900,5000,5200,5800,5900,5900,6300,6400,6500,6600
10,Heilongjiang,300,400,400,400,700,1000,1000,1000,1000,1200,1400,3700,4100,4100,4100,4300,4400,4500,4500
11,Hubei,600,800,900,1100,1400,1600,1700,2400,2700,3300,3700,4000,4000,4300,5100,6200,6200,6300,6400
12,Hunan,400,600,1000,1200,1200,1400,1400,1800,2000,2200,2400,2600,4000,5100,5500,5700,6100,6400,6700
13,Jilin,400,400,500,500,500,500,500,500,900,1000,1900,2300,2300,2300,2300,2600,3100,3100,3300
14,Jiangsu,1100,1400,1700,2000,2400,2900,3400,3600,3700,3800,4100,4100,4400,4400,4500,4500,4700,4700,4700
15,Jiangxi,400,400,700,1000,1400,1600,1800,2000,2300,2400,3100,3600,4200,4300,4500,5100,5900,5900,5900
16,Liaoning,1100,1100,1600,1600,1600,1800,1800,2000,2700,2800,3100,3300,3900,4000,4200,4200,4200,4200,4300
17,NeiMong,0,200,300,300,500,1000,1300,1800,1900,2200,2400,2900,3100,4100,4200,5000,5200,6300,6600
18,Ningxia,100,200,400,500,500,700,700,800,1000,1000,1200,1300,1300,1300,1300,1500,1600,1600,1700
19,Qinghai,0,0,0,100,200,200,200,200,200,200,200,1100,1100,1200,1700,2700,2900,3200,3300
20,Shandong,2000,2100,2400,3000,3000,3200,3300,4000,4300,4300,4300,4400,5000,5000,5100,5300,5700,5800,6100
21,Shanxi,500,600,1100,1200,1300,1700,1800,1900,2000,2000,3000,4000,5000,5000,5000,5000,5300,5300,5600
22,Shaanxi,300,500,600,800,1000,1200,1600,2100,2500,2800,3400,3800,4100,4400,4500,5100,5200,5300,5500
23,Shanghai,100,100,200,200,500,600,600,600,600,800,800,800,800,800,800,800,800,800,800
24,Sichuan,1000,1100,1500,1500,1800,1800,1800,1900,2200,2200,2700,3000,4300,5000,5500,6000,6500,6800,7100
25,Tianjin,300,300,300,500,500,600,700,700,800,900,1000,1100,1100,1100,1100,1100,1200,1200,1300
26,Xinjiang,400,400,400,400,400,500,500,500,600,800,800,1500,2300,2700,4300,4300,4400,4600,4800
27,Yunnan,500,500,700,1100,1300,1400,1500,2500,2500,2500,2600,2700,2900,3200,3300,4000,4100,5000,5200
28,Zhejiang,600,800,1300,1400,1500,1900,2400,2700,3100,3300,3400,3500,3600,3800,3900,3900,4100,4200,4400
29,Chongqing,200,300,400,600,700,700,800,1000,1200,1600,1900,1900,1900,2300,2400,2500,2800,3000,3100
