Index,Province,length2000,length2001,length2002,length2003,length2004,length2005,length2006,length2007,length2008,length2009,length2010,length2011,length2012,length2013,length2014,length2015,length2016,length2017,length2018
0,Anhui,1800,2200,2200,2200,2400,2400,2400,2400,2900,2900,2900,3100,3300,3500,3500,4200,4200,4300,4300
1,Beijing,1100,1200,1100,1100,1100,1100,1100,1100,1200,1200,1200,1200,1300,1300,1300,1300,1300,1300,1300
2,Fujian,900,1300,1500,1500,1500,1600,1600,1600,1600,2100,2100,2100,2300,2700,2800,3200,3200,3200,3500
3,Gansu,2300,2700,2300,2300,2300,2300,2400,2400,2400,2400,2400,2400,2500,2600,3400,3800,4100,4700,4700
4,Guangdong,700,1900,2100,2100,2200,2200,2200,2200,2200,2500,2700,2800,2800,3500,4000,4000,4200,4200,4500
5,Guangxi,2000,2700,2700,2700,2700,2700,2700,2700,2700,3100,3200,3200,3200,4000,4700,5100,5200,5200,5200
6,Guizhou,1600,1600,1900,1900,1900,2000,2000,2000,2000,2000,2000,2100,2100,2100,2400,2800,3300,3300,3600
7,Hainan,200,200,200,200,400,200,200,400,400,400,700,700,700,700,700,1000,1000,1000,1000
8,Hebei,3600,4600,4600,4700,4700,4700,4800,4800,4900,4900,4900,5200,5600,6300,6300,7000,7000,7200,7400
9,Henan,2400,3600,3600,3700,4100,4100,4000,4000,4000,3900,4300,4300,4900,4900,5200,5300,5600,5400,5400
10,Heilongjiang,5000,5500,5500,5500,5600,5700,5700,5800,5800,5800,5800,5900,6000,6000,6000,6200,6200,6200,6900
11,Hubei,2000,2200,2400,2400,2500,2500,2500,2600,2700,3000,3400,3400,3800,3900,4100,4100,4100,4200,4300
12,Hunan,2300,2800,2800,3000,2800,2900,2900,2900,2900,3700,3700,3700,3800,4000,4600,4500,4700,4700,5100
13,Jilin,3500,3600,3600,3600,3600,3600,3600,3600,3800,3900,4000,4000,4400,4400,4500,5100,5100,5000,5000
14,Jiangsu,800,900,1300,1400,1600,1600,1600,1600,1700,1700,1900,2400,2400,2600,2700,2700,2800,2800,3100
15,Jiangxi,2200,2400,2400,2300,2300,2400,2400,2600,2700,2700,2800,2800,2800,3100,3700,4000,4000,4300,4300
16,Liaoning,3600,3800,3800,4200,4200,4200,4200,4200,4200,4200,4300,4300,5000,5100,5100,5800,5600,5900,6500
17,Nei Mongol,5000,6000,6200,6200,6300,6200,6400,6700,6800,8100,8900,9200,9500,10200,10200,12100,12300,12700,12800
18,Ningxia Hui,700,800,800,800,800,800,800,800,800,900,1200,1300,1300,1300,1300,1300,1300,1400,1400
19,Qinghai,1100,1300,1100,1100,1100,1100,1700,1700,1700,1700,1900,1900,1900,1900,2100,2300,2300,2300,2300
20,Shandong,2400,2900,2900,3200,3300,3300,3300,3300,3600,3700,3800,4200,4300,4300,5000,5400,5500,5700,6300
21,Shanxi,2500,3100,3100,3100,3100,3200,3100,3100,3300,3500,3800,3800,3800,3800,5000,5100,5300,5300,5400
22,Shaanxi,2200,2900,2900,2900,3200,3100,3200,3200,3200,3300,4100,4100,4100,4400,4500,4500,4600,5000,5000
23,Shanghai,300,300,300,300,300,300,300,300,300,300,400,500,500,500,500,500,500,500,500
24,Sichuan,2300,2500,2900,3000,3000,3000,3000,3000,3000,3300,3500,3500,3500,3500,4000,4400,4600,4800,5000
25,Tianjin,500,700,700,700,700,700,700,700,800,800,800,900,900,1000,1000,1000,1100,1100,1200
26,Xizang,0,0,0,0,0,0,600,600,500,500,500,500,500,500,800,800,800,800,800
27,Xinjiang Uygur,2300,2800,2800,2800,2800,2800,2800,2800,2800,3700,4200,4300,4700,4700,5500,5900,5900,5900,6000
28,Yunnan,1900,1900,2400,2300,2300,2300,2300,2300,2300,2500,2500,2500,2600,2600,2900,2900,3700,3700,3800
29,Zhejiang,800,1200,1300,1200,1200,1300,1300,1300,1300,1700,1800,1800,1800,2000,2300,2600,2600,2600,2800
30,Chongqing,600,600,700,700,700,1300,1300,1300,1300,1300,1400,1400,1500,1700,1800,1900,2100,2200,2300
