Index,Country,X1970,X1980,X1990,X1995,X2000,X2005,X2010,X2015
0,Albania,18.9119171,21.73274596,12.52204586,34.05405405,47.72727273,62.04188482,56.74300254,59.95145631
1,Algeria,30.96623981,22.39451857,30.88350274,27.31381056,27.38656692,31.18140736,33.10013574,35.28024079
2,Angola,63.58024691,37.59398496,26.02040816,27.3657289,23.11015119,39.83739837,42.36615995,43.98963731
3,Arab World,23.73160341,24.31329221,27.61860281,25.10124294,25.33219241,24.35731077,24.95702498,24.74428849
4,Argentina,29.23990787,32.8149627,28.61742805,32.65410521,28.89032443,26.51408686,24.98273083,24.16714308
5,Armenia,,,14.91935484,3.264094955,16.66666667,16.22276029,31.11111111,27.77777778
6,Australia,23.27706473,23.97697591,23.87864321,23.66567373,22.40812668,21.32716713,22.48549571,24.74450211
7,Austria,19.62962963,21.23665808,24.21819474,26.01107568,29.98222079,32.93091885,32.34309014,36.62388944
8,Azerbaijan,,,11.59528708,10.32138443,8.644688645,14.51223716,21.03697408,24.48847028
9,Bahrain,6.228373702,8.701657459,9.36329588,9.219330855,9.659090909,12.15953307,12.33359436,11.45166723
10,Bangladesh,8.680555556,15.04559271,14.6234676,16.20145631,14.46991404,15.80594679,14.7442327,14.19624217
11,Belarus,,,11.50070126,11.73164735,12.39685281,14.14288311,18.27597728,20.51192756
12,Belgium,10.03222524,12.62948207,19.14352941,20.45149153,21.4918824,24.10514541,25.18272425,28.628663
13,Benin,83.33333333,66.66666667,65.38461538,54.54545455,64.78873239,57.46268657,69.67032967,67.59581882
14,Bolivia,44.95412844,50.11876485,43.30097087,44.84760522,41.26760563,39.02976847,39.48905109,40.71038251
15,Bosnia and Herzegovina,,,9.125,30.18292683,15.23323615,14.50189155,16.59346022,13.7372803
16,Botswana,,,23.1316726,27.89968652,30.27295285,35.04672897,59.32721713,32.12209302
17,Brazil,48.45054317,43.71236062,44.58616011,45.74038293,42.90650337,44.10305958,45.25139665,44.75232133
18,Brunei,20,12.5,16.87116564,17.33333333,18.32579186,19.70954357,17.20116618,20.14925373
19,Bulgaria,8.098370927,4.844209289,8.63618077,7.944634054,12.87034842,16.38709677,17.54504505,19.51103727
20,Cambodia,,,,78.91156463,67.34693878,56.22641509,67.31601732,63.60655738
21,Cameroon,76.71232877,70.65868263,66.28787879,69.51219512,66.66666667,72.01365188,52.87128713,53.80794702
22,Canada,24.76848449,30.60852263,29.7125286,30.53396004,29.05050662,30.0403678,31.7828278,31.79343908
23,Caribbean small states,21.46788991,17.66072812,16.05019815,16.47555824,18.07962529,16.49134713,18.43719729,17.33086191
24,Central Europe and the Baltics,8.149519184,5.90194227,7.652014091,8.36964897,11.74855491,15.11851377,18.01336354,19.64268376
25,Chile,28.67332382,29.1588785,30.85287122,36.80518079,34.93108414,34.10510842,31.24362152,31.07769424
26,China,5.826935155,5.795571198,5.155736678,4.876899843,8.538331929,7.710210168,7.543742418,8.598695273
27,Colombia,25.34683165,33.85057471,35.64875491,37.33700643,34.28096733,38.19301848,36.05713337,41.2
28,Congo,61.40350877,73.91304348,79.6875,77.77777778,86,85.71428571,80.87431694,76.51515152
29,Costa Rica,53.54330709,61.57407407,61.15384615,58.33333333,66,69.11764706,68.98638427,68.61924686
30,Cote d'Ivoire,36.66666667,46.01769912,44.07407407,37.73006135,20.37914692,20.99827883,24.15458937,31.12299465
31,Croatia,,,17.51968504,22.12449256,25.74493445,27.27272727,31.90789474,36.59180978
32,Cuba,19.94233542,17.38845144,14.86803519,8.778966132,7.937088515,7.624750499,3.8249694,4.278438031
33,Curacao,10.33769814,17.87773933,33.83458647,43.3460076,24.24242424,24.20701169,35.61643836,22.94736842
34,Cyprus,34.48275862,24.12451362,29.82005141,28.91089109,27.46031746,28.65248227,30.71625344,30.38194444
35,Czech Republic,3.535846845,3.813206425,4.623469931,5.88092148,9.783235803,14.46901908,14.88693467,17.02744692
36,Democratic Republic of Congo,16.27906977,18.92744479,19.06354515,39.47368421,92.94117647,86.71875,88.23529412,96.78111588
37,Denmark,13.46570397,14.24266455,20.22758485,20.02398082,23.62561576,27.49793559,27.57306226,32.91799478
38,Dominican Republic,40.8045977,28.27804107,31.21621622,31.28342246,32.22100656,33.7182448,30.93375065,26.32398754
39,Early-demographic dividend,25.76398627,24.64555261,21.73803161,21.83870357,21.16452144,20.75030031,21.0863046,21.36888974
40,East Asia & Pacific,11.89181718,12.63394255,12.90084794,13.23297739,15.03384773,12.62932692,11.57228233,12.26639624
41,East Asia & Pacific (excluding high income),8.276073166,8.04801784,8.167775656,8.421670869,11.68194997,10.06376199,9.626657386,10.8120064
42,East Asia & Pacific (IDA & IBRD),8.726842099,8.2523296,8.368911917,8.536328166,11.85468502,10.16494802,9.683839985,10.83875264
43,Ecuador,52.72206304,38.36538462,58.70870871,49.490713,48.20739106,40.63545151,39.03276131,41.67312161
44,Egypt,19.96007984,20.15713233,20.75035333,25.98897734,29.32504262,21.2833633,25.4138322,22.54862354
45,El Salvador,43.84615385,53.75,60.18957346,46.38949672,48.74274662,48.96,51.71821306,48.1292517
46,Eritrea,,,,42.30769231,32.78688525,31.03448276,29.16666667,30.35714286
47,Estonia,,,6.561023075,8.709273183,11.37146795,12.72294887,12.06434316,12.67123288
48,Ethiopia,41.98473282,47.40740741,42.85714286,46.98275862,49.6875,48.55233853,47.81879195,46.87842278
