Index,Country,X1960,X1970,X1980,X1990,X1995,X2000,X2005,X2010,X2015,X2016,X2017
0,Afghanistan,0.046005699,0.150132952,0.132621747,0.212456802,0.071998403,0.038230545,0.052660873,0.293447736,0.299599261,0.353701996,0.366301998
1,Albania,1.236221743,1.739490133,1.926810702,1.679333612,0.671063135,0.967061183,1.380315987,1.56252914,2.034556318,2.143578939,2.177064808
2,Algeria,0.552926098,1.034977636,3.434556122,2.961390606,3.286084341,2.804118656,3.198503733,3.26195417,3.77694323,3.703340218,3.643711196
3,Andorra,0,0,0,7.461226586,6.65660141,8.012723658,7.293899857,6.117585762,6.117345861,6.618791812,6.758706035
4,Angola,0.097276014,0.527997958,0.597359092,0.41808402,0.767279266,0.578742467,0.972069493,1.23515386,1.247738552,1.226891841,1.188211756
5,Antigua and Barbuda,0.662100869,6.88044353,1.945698647,4.230058774,3.732732039,4.120597243,4.803065443,5.535035548,5.550592756,5.600039618,5.541469631
6,Argentina,2.365018799,3.447536866,3.861112639,3.418604036,3.646210552,3.824245777,4.123713553,4.528598733,4.753076707,4.722376195,4.615284172
7,Armenia,1.330531962,1.60791483,1.953974284,1.877399494,1.044368805,1.137419745,1.469120932,1.480610195,1.985543122,2.038012911,1.930212677
8,Australia,8.563790977,11.4833634,15.05422103,16.33808662,16.89517848,18.36764794,19.09763645,18.38840849,16.93289797,17.13390232,16.89501744
9,Austria,4.353768655,6.736308119,6.8367082,8.064816188,8.035666822,8.21160945,9.615949293,8.606846977,7.685980438,7.736572851,8.006654677
10,Azerbaijan,6.180528704,7.568726576,9.429474972,8.705640581,4.284153147,3.63255704,4.015458729,3.391423618,4.184195061,4.080899756,3.888005254
11,Bahamas,3.746694909,15.16805095,37.84338302,7.604269396,6.003126896,5.596428212,5.285968978,4.579593828,6.505383106,6.556992782,6.48609873
12,Bahrain,3.541578678,12.18432304,21.89921309,25.01432891,26.23224001,28.01312438,21.51731612,23.43115511,23.94344021,24.04279442,23.08459255
13,Bangladesh,0.04589039,0.058467749,0.093542078,0.145872121,0.191828716,0.209033529,0.271321196,0.383057461,0.517992107,0.523183748,0.53475189
14,Barbados,0.74568609,1.794815113,2.673243614,4.072255678,3.105985039,4.328506376,4.825877362,5.195968938,4.577055454,4.648025551,4.629426079
15,Belarus,4.571880074,6.78726443,9.336237182,10.19244922,5.713442086,5.582868713,6.449006608,6.741466381,6.216231302,6.382799036,6.481791493
16,Belgium,9.916490027,13.02825092,13.66265325,12.04056058,12.37769379,12.33168473,11.9123504,10.38346664,8.879342892,8.825529525,8.759565029
17,Belize,0.477580813,0.98960567,1.32168846,1.660552807,1.823475694,1.600032347,1.487448681,1.674734459,1.453599619,1.49183181,1.496810807
18,Benin,0.066299779,0.096873305,0.136517736,0.136724736,0.215654246,0.229246802,0.296544045,0.53688503,0.600450544,0.620652465,0.671284146
19,Bhutan,0,0.012282895,0.053728017,0.23868374,0.458636412,0.665637181,0.575846226,0.637893645,1.254730132,1.397129506,1.444209519
20,Bolivia,0.271775086,0.551229233,0.833510457,0.835263582,1.295009807,1.319584844,1.322733418,1.506454827,1.865032686,1.888545673,1.889787576
21,Bosnia and Herzegovina,1.631246483,2.830869806,3.861528048,4.484027107,0.885286712,3.637473668,4.243251787,5.681129295,7.003518124,7.393533819,7.598164112
22,Botswana,0,0,0.984475977,1.959753598,1.940472655,2.185671801,2.205287922,2.309625543,3.215180615,3.154478265,3.436365994
23,Brazil,0.648849298,0.981156415,1.533168513,1.385457972,1.574791814,1.849680548,1.830148201,2.089674739,2.486291711,2.281410256,2.274693943
24,Brunei,4.07883051,63.3084278,35.45946615,23.91365806,16.1013217,13.77679217,13.33520284,20.73987166,24.80067931,23.54638317,23.85571308
25,Bulgaria,2.824250936,7.190613498,8.697672885,8.898274019,6.866660796,5.653304645,6.58418209,6.454483415,6.706149627,6.350336538,6.92649324
26,Burkina Faso,0.009104448,0.02540554,0.063368306,0.066118914,0.061831284,0.088809607,0.083583117,0.121365857,0.153570409,0.159269688,0.173756833
27,Burundi,0.013075823,0.018025203,0.035600319,0.038565465,0.039945938,0.042360327,0.020730434,0.024240184,0.046734475,0.04828412,0.048704677
28,Cambodia,0.040978825,0.16759927,0.042705832,0.140462271,0.144579417,0.162511395,0.209013262,0.343631086,0.449586852,0.474672423,0.49597561
29,Cameroon,0.052380595,0.097649017,0.450891772,0.143249437,0.310115029,0.219051759,0.206148407,0.333593479,0.31607451,0.323651695,0.319584421
30,Canada,10.75590983,15.90366835,18.04660942,16.75098945,16.89953229,18.62750418,17.86428351,16.25640466,15.73244103,15.38142016,15.63945701
31,Cape Verde,0.108518017,0.135384311,0.42180027,0.278645034,0.310726318,0.496866086,0.926486671,1.108570337,0.933002835,0.986367466,1.098081052
32,Central African Republic,0.058487218,0.114205158,0.046607168,0.067302995,0.069941037,0.071231158,0.05680744,0.059302353,0.066752273,0.06765693,0.066694212
33,Chad,0.018310277,0.03419084,0.046286803,0.023988481,0.015701238,0.021081301,0.039671763,0.043460522,0.050926893,0.050438753,0.048906567
34,Chile,1.74642002,2.575925421,2.229191095,2.488019004,2.874115413,3.807549692,3.77450308,4.197510736,4.569200367,4.808999535,4.685933739
35,China,1.184424325,0.933775423,1.467874076,2.064320028,2.633237861,2.610113361,4.366726593,6.251524765,6.9550961,6.914483012,6.980228871
36,Colombia,0.994545244,1.285969606,1.592797176,1.660756025,1.565629316,1.391341798,1.39193422,1.639885468,1.783632202,1.775270638,1.655473425
37,Comoros,0.057513303,0.127413564,0.154735259,0.151333596,0.154145824,0.189159539,0.227642011,0.233750718,0.215984366,0.227964683,0.23280362
38,Congo,0.215483697,0.418800538,0.220403976,0.483265692,0.555804262,0.324215248,0.261265224,0.448958662,0.646246273,0.658266087,0.648144276
39,Costa Rica,0.368313029,0.675376744,1.024756365,0.940565185,1.367697693,1.3742338,1.574249142,1.634224939,1.699740443,1.763475614,1.772404704
40,Cote d'Ivoire,0.129717774,0.427737322,0.671509313,0.389763277,0.420555099,0.387335413,0.408836176,0.297231587,0.46970259,0.453982894,0.482590181
41,Croatia,1.368052523,2.623710579,3.798814592,4.907901868,3.690918646,4.475025535,5.365287373,4.90857954,4.248465537,4.324787154,4.101254408
42,Cuba,1.916656013,2.140427242,3.182887524,3.129501949,2.346056941,2.326684014,2.290594393,3.368216937,3.141038974,3.195063026,3.178521454
43,Cyprus,1.547015185,2.774823922,4.756171131,6.056575878,6.855769631,7.536271608,7.757609672,7.206387305,5.945702537,6.245314877,6.370803331
44,Czech Republic,10.32834011,15.72931345,17.83799152,15.88093203,12.74051469,12.33254824,12.21411396,11.15151506,9.881828539,10.04088468,10.16129938
45,Democratic Republic of Congo,0.152050859,0.135416042,0.132221377,0.116320026,0.050487494,0.016940689,0.026397528,0.030428377,0.061732139,0.06115658,0.059179624
46,Denmark,6.49396721,12.58087377,11.77763056,10.42592408,11.77756188,10.16767984,9.504778029,8.87374597,6.207947141,6.498282097,6.025955135
47,Djibouti,0.481897747,0.872058575,0.969690216,0.546126511,0.482420351,0.474860086,0.528605025,0.606974597,0.798440934,0.836463734,0.853731521
48,Dominica,0.183166419,0.360868403,0.486496535,0.826551617,1.12946979,1.472415179,1.660101661,1.94893617,1.934429895,1.961759379,1.951275617
49,Dominican Republic,0.31568891,0.689540844,1.106336932,1.27395755,1.998291645,2.288279688,1.989723485,2.078648239,2.03935276,2.045522717,1.975367348
50,Ecuador,0.387539829,0.70451968,1.680845079,1.635391889,1.983982042,1.628258405,2.181986481,2.402734654,2.593743618,2.42622815,2.333691407
51,Egypt,0.59388111,0.617869076,1.024419654,1.317175724,1.493648484,2.007662099,2.149591976,2.363729908,2.137194134,2.183239812,2.241489641
52,El Salvador,0.223989154,0.389333314,0.462687355,0.469491386,0.88423955,0.964766204,1.053128269,1.02472478,1.03570575,1.077164161,1.096297419
53,Equatorial Guinea,0.086102701,0.11953738,0.229605405,0.154510057,0.254005479,0.739571854,6.217000279,4.915618061,4.965553259,5.287210399,5.296955436
54,Eritrea,0,0,0,0,0.300839112,0.178046328,0.191804678,0.115692565,0.147829372,0.154252724,0.156455873
55,Estonia,8.400343987,12.23725212,16.73369542,23.68258549,12.70320191,10.9799697,12.64068656,14.27432578,12.08151337,13.3289724,15.12582468
56,Ethiopia,0.015873808,0.058128334,0.051538019,0.062091745,0.043721131,0.052057802,0.064581197,0.072925194,0.123971668,0.126381721,0.127634983
57,Fiji,0.493642377,0.999080301,1.247404066,1.106266531,0.972142726,1.027588912,1.315385335,1.396878225,1.401896253,1.406521118,1.484686572
58,Finland,3.402103595,8.749315739,12.14213942,11.4020127,11.3579807,10.99499571,10.84727275,11.92589508,8.089448286,8.708927689,8.320500113
59,France,5.916461197,8.646576534,9.361762463,7.076822553,6.877601897,7.056960323,7.065355486,6.313200851,5.401470515,5.409470867,5.483273772
60,Gabon,0.264239238,3.526670937,9.085331155,4.710504436,4.2409623,3.793182292,3.462163035,2.915666713,2.739164951,2.766020423,2.728914913
61,Gambia,0.049792351,0.106491387,0.26068842,0.191830787,0.185567184,0.199284974,0.202963016,0.255504687,0.261287294,0.270911596,0.296200856
62,Georgia,1.637861753,2.267786693,3.149628338,3.170424845,0.456449673,0.952849018,1.118231718,1.467289591,2.394928549,2.506462126,2.799476841
63,Germany,11.08865864,13.06058907,14.07797253,12.80236652,11.57163659,11.05638595,10.61846948,10.30579311,9.755228662,9.7876606,9.734893322
64,Ghana,0.219764421,0.304948963,0.235888293,0.256683391,0.307519853,0.322119581,0.315821092,0.396160991,0.523786692,0.535465664,0.581433337
65,Greece,1.135369203,2.785998655,5.281875952,8.135343003,8.058450229,9.242613345,10.08079423,8.504537242,6.682455706,6.381875336,6.810206701
66,Grenada,0.244622729,0.465634465,0.535160946,1.103580071,1.498419031,1.874924965,2.099835841,2.485206874,2.408029919,2.512477054,2.561817853
67,Guatemala,0.319240805,0.408488347,0.616823137,0.536511526,0.680147013,0.838211457,0.943021484,0.776565616,1.218479769,1.262601875,1.2344011
68,Guinea,0.114710954,0.187551454,0.213575561,0.166184469,0.160967105,0.183131891,0.188504139,0.238547309,0.202231219,0.209885019,0.228405905
69,Guinea-Bissau,0.029720526,0.097799044,0.183004643,0.170118939,0.161108483,0.117886568,0.153900747,0.153070931,0.155082891,0.161868295,0.178012323
70,Guyana,1.153371959,2.240187025,2.291899153,1.523156588,1.920337952,2.135263328,1.912638192,2.301791158,2.625683358,2.654507716,2.669599889
71,Haiti,0.073867627,0.081654598,0.130970757,0.137991335,0.115264241,0.159859636,0.221016826,0.209351093,0.27481676,0.27642212,0.273005086
72,Honduras,0.301870034,0.510933455,0.555781364,0.513951206,0.670247997,0.756275182,1.00720157,0.95191181,1.122126458,1.160578937,1.151540111
73,Hong Kong,0.963265758,2.166862327,3.377139098,4.695537177,5.09216499,6.045312878,6.40492942,5.761255807,5.893427646,5.920417817,5.842941443
74,Hungary,4.532370338,6.74631134,8.06238311,7.078235641,5.953028104,5.728536194,5.998133589,5.249937233,4.769579289,4.878172068,5.178665836
75,Iceland,6.905137136,6.791207625,8.15278636,8.772718953,9.210951541,10.46225963,10.06480234,11.30382358,10.70851461,10.49697769,10.38736554
76,India,0.268256382,0.351763935,0.448467703,0.70860289,0.84484677,0.977766362,1.057709916,1.38103498,1.738971219,1.79542312,1.841996698
77,Indonesia,0.243587885,0.31167724,0.643334053,0.828637905,1.150855093,1.257363357,1.515485857,1.763905028,1.780388108,1.780273085,1.844165359
78,Iran,1.705334555,3.219030064,3.117921388,3.721368318,4.476180642,5.583746378,6.582193142,7.564078526,7.943018657,7.941985293,8.283504783
79,Iraq,1.132569348,2.408129008,3.322126753,2.681536492,3.66601182,3.043248677,4.183153146,3.607789404,4.64374594,4.971127627,5.080511318
80,Ireland,3.957512177,6.574153352,7.648095852,9.21142291,9.802529822,11.74242216,11.41818876,9.008032435,8.179313579,8.448467854,8.345488549
81,Israel,3.091086297,5.811071577,5.603840892,7.95983957,9.349041828,9.897230426,8.560391171,9.19570137,8.195856877,7.955271705,7.997698944
82,Italy,2.195381297,5.531389151,6.849315558,7.701142673,7.894112008,8.216742406,8.421132286,7.113251867,5.974084891,5.894722874,5.988119458
83,Jamaica,0.901827383,2.660038174,3.904419672,3.104942361,3.61522101,3.882016422,3.771154844,2.576875306,2.680315066,2.711023428,2.689219839
84,Japan,2.48201845,7.319117359,8.019108328,9.278064568,9.795040626,9.901164516,10.02726165,9.424778023,9.561765008,9.427261383,9.452613071
85,Jordan,0.797138825,0.905039691,1.977666763,2.877907008,2.888258542,2.978571418,3.576426599,2.870123279,2.529423124,2.28749213,2.201192289
86,Kazakhstan,11.22141357,13.9327397,18.10731174,16.11322232,10.14553049,8.868667378,11.8598262,14.44980926,14.84445584,15.47509523,16.07231908
87,Kenya,0.299075885,0.273558486,0.378112272,0.242969257,0.270801282,0.327548857,0.231317474,0.284060978,0.30799678,0.314356612,0.318274925
88,Kiribati,0,0.429559576,0.493975294,0.303596089,0.377100219,0.34727389,0.674660168,0.606787983,0.60470718,0.601007212,0.630672778
89,Kuwait,28.9186627,33.50637615,17.93766629,24.23598204,33.89249338,26.03160394,31.25965017,29.77643537,25.99907747,25.52839225,25.23698426
90,Kyrgyzstan,0,0,0,0,0.98794611,0.935327546,1.086346295,1.164231941,1.692883351,1.655534838,1.725877009
91,Laos,0.038006578,0.212609004,0.057352898,0.049903346,0.071599494,0.174294384,0.239364753,0.239826791,0.261854104,0.280917046,0.285495328
92,Latvia,2.842862697,4.145691646,5.801687057,7.433439592,3.654647242,2.977584037,3.479224732,4.080970357,3.680331998,3.686124007,3.675913524
93,Lebanon,1.427210285,1.715303638,2.260694544,2.910768305,4.048329676,4.780375389,4.177100035,4.614830867,3.634839284,3.28924565,3.213688608
94,Lesotho,0,0,0,0.918319785,0.969378758,0.990164815,1.031798734,1.115063529,1.142599385,1.117106457,1.264391837
95,Liberia,0.147173156,1.024043567,1.079035574,0.223216602,0.156947362,0.143679358,0.217852068,0.198356579,0.202879927,0.210027912,0.227767263
96,Libya,0.478105407,15.14164894,8.318318147,8.2298366,9.232762675,8.736961761,8.924403482,9.907644239,8.366472521,8.15323475,8.375000482
97,Liechtenstein,0,0,0,0,0,0,0,5.299716135,4.247921824,3.938884671,4.252228258
98,Lithuania,3.421984681,4.920325673,6.747867749,9.682596537,4.137246748,3.366242107,4.212997119,4.38972359,4.482238477,4.524185212,4.634082705
99,Luxembourg,36.58042341,40.43759018,30.44234297,30.9385012,22.34007713,19.88720545,26.31562052,21.96206124,16.33843124,15.63699945,15.93043014
100,Macedonia,2.530757026,4.429399826,6.009764208,7.184655986,5.461123448,5.924143622,5.470376727,4.151051388,3.490366367,3.432634631,3.480992286
101,Madagascar,0.078318648,0.147600034,0.185158513,0.081372643,0.093558458,0.118442784,0.094094981,0.091640348,0.12574963,0.122289694,0.124440753
102,Malawi,0.121143073,0.09863073,0.114876974,0.078310931,0.091528405,0.075055929,0.065832652,0.073950923,0.072564352,0.072715456,0.073431905
103,Malaysia,0.437051082,1.350047896,2.021815173,3.105160218,5.856633479,5.371409134,6.722160987,7.683198759,7.977618926,8.051029932,8.050017264
104,Maldives,0,0,0.277602046,0.771489371,0.980596815,1.607338507,1.884655434,2.563214828,3.478533376,3.441462984,3.602358926
105,Mali,0.02297077,0.033874345,0.055195493,0.049546836,0.048691497,0.074832166,0.070138028,0.06392216,0.081781372,0.084974086,0.092968404
106,Malta,1.093787516,2.071893179,3.067313982,5.332480332,6.569204559,6.481159433,6.553846264,6.224837927,4.110590623,3.307878154,3.352752724
107,Marshall Islands,0,0,0,0,1.292796236,1.475181656,1.618903083,1.956928946,2.112617655,2.133926808,2.275848815
108,Mauritania,0.042695603,0.373126482,0.410803834,0.420518782,0.43613893,0.411114216,0.458772423,0.543071519,0.562476393,0.585452528,0.64221384
109,Mauritius,0.272014763,0.602951693,0.61064707,1.384582164,1.619898766,2.269237941,2.695522024,3.135651526,3.304532052,3.237879976,3.382416788
110,Mexico,1.651702791,2.190101556,3.867970594,3.730350711,3.540940222,3.911727735,4.295234245,3.972850827,3.791167326,3.95937175,3.795929033
111,Micronesia,0,0,0,0,0,0,0,0,0,0,0
112,Moldova,0,0,0,0,2.628529675,0.850482339,1.187616925,1.182746425,1.217109351,1.280999597,1.257300003
113,Mongolia,1.353621383,2.225904006,4.057213631,4.52808124,3.437430783,3.122855417,3.393593214,5.094630712,6.838160965,9.47380064,9.881061318
114,Montenegro,1.374767251,2.608580131,3.541547178,4.147800576,2.762345788,2.833337278,3.583650704,4.131856444,3.882948241,4.093904536,4.178031433
115,Morocco,0.294925985,0.455126039,0.794965302,0.944648772,1.118434337,1.163859865,1.491595937,1.734051527,1.753948305,1.737282076,1.755065434
116,Mozambique,0.254768199,0.32537033,0.269951942,0.076629046,0.07034069,0.073211983,0.084630835,0.108742445,0.321964318,0.340152759,0.346301927
117,Myanmar,0.129363852,0.174831021,0.16508358,0.104238012,0.159729201,0.217863046,0.237871696,0.248079095,0.447309655,0.454146249,0.474666197
118,Namibia,0,0,0,0,0.97833038,0.864270607,1.135874689,1.424683757,1.615491818,1.61262411,1.604414716
119,Nauru,0,10.15270936,16.63675214,13.60742764,10.65864179,8.396134303,6.158592051,4.385835411,4.616305506,4.633403543,4.942013381
120,Nepal,0.008010326,0.018933934,0.0363237,0.033272926,0.093632178,0.127965467,0.119015802,0.181104262,0.264703955,0.294173253,0.308077017
121,Netherlands,6.414426888,10.90631623,12.48421943,10.85439181,11.1866029,10.79579126,10.84677508,10.92013079,9.742886699,9.743854352,9.629404939
122,New Zealand,4.860408422,5.031241664,5.554815095,7.490371155,7.660932199,8.385376117,9.103831141,8.011487864,7.766141392,7.394157044,7.653064137
123,Nicaragua,0.299296467,0.58496692,0.622276537,0.493163027,0.597292382,0.740245065,0.793729802,0.778878574,0.833368909,0.861771079,0.872182453
124,Niger,0.008649761,0.047901152,0.095205064,0.091211276,0.085157935,0.061015131,0.05202336,0.071179537,0.105010257,0.108088214,0.115708958
125,Nigeria,0.075395159,0.384412657,0.926143658,0.407864056,0.329365931,0.619196674,0.760804891,0.569531766,0.573040862,0.546115505,0.562119378
126,North Korea,2.082289204,5.098839507,6.529377059,6.031619696,3.716893988,3.016520546,3.134127466,2.671124545,1.521313291,2.165085316,2.276083245
127,Norway,3.652974467,7.218347201,9.30566195,8.4064027,8.810914617,9.382627592,9.403558973,9.378719084,8.589450617,8.379483692,8.442342323
