Index,Country,T1960,T1970,T1980,T1990,T1995,T2000,T2005,T2010,T2015,T2016
0,Afghanistan,413883.42,1670397.69,1757021.97,2602407.59,1231139.65,768195.25,1320250.12,8452224.14,10107428.68,12257907.69
1,Africa,156567067.8,302623753.9,535662719.8,657850152.1,775510660.8,884531576.9,1044075215,1193783772,1289003257,1310656389
2,Albania,2022528,3740944,5166240,5510656,2084816,3019136,4250240,4594656,5947724.28,6272857.94
3,Algeria,6151240.91,15058959.8,66416467.44,76736640.21,94981961.04,87442682.76,106473190,117814076.6,150592497.7,150378025.5
4,Americas (other),491067101.5,860650880.4,1319822694,1463145039,1619585528,1907022738,2076950414,2253918886,2435553763,2415058074
5,Andorra,,,,406704,425024,523952,575248,516624,477238.62,511506.85
6,Angola,548946.25,3577915.33,5334356.96,5088684.98,10948303.24,9515060.92,19006429.59,28864472.37,34761128.89,35351002.67
7,Anguilla,,,,51296,65952,87936,128240,150224,149176.85,152072.24
8,Antarctic Fisheries,,,,10992,3664,3664,7328,,,
9,Antigua and Barbuda,36640,461664,142896,282128,274800,344416,428688,523952,554631.88,565396.8
10,Argentina,48764499.99,82648001.24,108519999.4,111890017.8,127598460.1,141716804.3,161424779.4,186686451.5,206367967.5,207064059.7
11,Armenia,2493576.56,4060089.46,6056833.74,6642549.18,3360091.62,3491410,4379830,4260176,5791730.01,5960812.77
12,Aruba,618560.82,928761.4,585434.59,1637808,1667120,2377936,2718688,2506176,910361.29,928030.61
13,Asia and Pacific (other),668260063.4,1634675993,2368006964,3034838326,3356212709,3679214015,4138394375,4536618116,4874047023,4961164905
14,Australia,88118899.96,147479768.2,220531000.1,278424375.7,305409799.3,350194581.8,386515211.6,406752772.7,402995453.4,413369923
15,Austria,30784479.38,50631701.8,52025653.9,62292228.93,64205950.22,66261743.06,79366679.88,72383144.13,66703987.93,67402082.59
16,Azerbaijan,24075606.79,39206192.88,57998230.03,63052952.43,33311115.77,29506320,34286420,30632888,40241429.05,39688284.55
17,Bahamas,410368,2568770.1,7972124.91,1949248,1681776,1667120,1740400,1652464,2516529.39,2565305.4
18,Bahrain,575248,2590448,7881264,12405381.15,14787087.46,18617914.65,19132508.94,29074829.99,32846928.17,34265093.36
19,Bangladesh,2211905.19,3803196.7,7620953.54,15489962.47,22771386.67,27504891.51,38915897.88,58281848.69,83500786.53,85253607.89
20,Barbados,172208,428688,674176,1060309.5,822958.69,1168034.46,1322333.83,1452631.84,1300876.97,1324668.69
21,Belarus,37419151.38,60933609.85,89944263.35,104134684,57947489.38,55458034.89,62049394.39,63862389.67,58965752.83,60509202.94
22,Belgium,90908083.6,125490458,134836656.6,120484399.3,126082964.2,126794789.3,125638201.6,113582031.4,100229489.8,100243709.2
23,Belize,43968,120912,190528,311440,377392,395712,421360,538608,522260.9,547433.65
24,Benin,161216,282128,507458.95,680683.55,1273558.66,1573997.31,2367081.29,4938944.44,6350336.13,6747918.55
25,Bermuda,157552,227168,436016,501968,531280,516624,582576,608224,600532.45,612188.26
26,Bhutan,,3664,21984,128240,236141.34,381687.01,378123.09,464157.57,987956.94,1114581.02
27,Bolivia,1003787.42,2483716.55,4658969.21,5726770.92,9798968.84,11004693.64,12070483.44,14941383.54,20001925.37,20562262.44
28,Bonaire Sint Eustatius and Saba,465477.93,698909.35,440549.86,241198.95,232235.48,249510.54,254888.62,202737.5,336604.17,343137.37
29,Bosnia and Herzegovina,5261859.58,10645562.34,16140627.32,20014105.24,3402787.16,13701293.89,16045983.93,21145640.45,24764166.95,26001698.03
30,Botswana,,,985616,2700368,3044784,3777584,4092688,4653585.98,7102967.37,7098396.26
31,Brazil,46851820.73,93530494.44,185758330.6,206921120,255583376,324226040,342086472,411240192,512081882,473741376
32,British Virgin Islands,,18320,29312,65952,84272,102592,131904,172208,187427.32,191065.13
33,Brunei,333424,8203696,6877328,6188496,4785184,4590992,4869456,8060800,10355325.24,9964735.17
34,Bulgaria,22270701.36,61173971.76,77224680.57,78672941.86,57536986.81,45213926.4,50591294.73,47792803.35,48132691.51,45287386.92
35,Burkina Faso,43968,142896,432352,582576,623870.11,1030896.77,1121846.74,1893940.54,2781255.94,2969811.57
36,Burundi,36430.63,62288,146560,208848,238160,271136,153888,212512,476657.53,508147.73
37,Cambodia,234496,1172331.42,285792,1260416,1540285.2,1974896,2773648,4916927.86,6976524.67,7481962.36
38,Cameroon,271136,637417.14,3885944.91,1678198.38,4174456.55,3345847.83,3591269.14,6662026.91,7217410.36,7586133.25
39,Canada,192716174.8,341177214.4,442817270.9,463879790.7,495664515.6,572530740,576801628.7,555459693.7,565576677,558188999.7
40,Cape Verde,21954.28,36580.57,120912,95264,120912,216176,439680,556928,497209.34,532204.43
41,Cayman Islands,10992,36640,161216,249152,362736,465328,472656,556928,,
42,Central African Republic,87936,208848,106256,197856,234496,267472,234496,263808,303462.51,310857.95
43,Chad,54960,124576,208848,142896,109920,175872,399376,516624,713455.87,728968.24
44,Chile,13476468.39,24635802.98,25114570.67,32946676.07,41090115.77,58113694.29,60947142.8,71329785.86,81161248.54,86127998.65
45,China,778979465.8,770167190.3,1458886738,2420302108,3265056964,3349294776,5771168440,8500542695,9716467840,9704479432
46,Christmas Island,,69616,98928,,,,,,,
47,Colombia,16390486.53,28370051.96,44180848.8,56916708.07,58620256.85,56215715.58,60250755.21,75300420,86022257.01,86372986.18
48,Comoros,10992,29312,47632,62288,73280,102592,139232,161216,167911.43,181368.93
49,Congo,223504,571584,405528.99,1179389.14,1555837.86,1045829.88,971447.59,1969443.82,3228418.9,3374154.13
50,Cook Islands,,10992,29312,36640,40304,47632,62288,69616,75970.18,76840.72
51,Costa Rica,490976,1248681.1,2448460.63,2911985.11,4801885.39,5394476.45,6687160.05,7428009.93,8172100.49,8565684.25
52,Cote d'Ivoire,461664,2242368,5569280,4781520,6115216,6463296,7496544,6063920,10854109.16,10757541.88
53,Croatia,5735743.52,11604860.8,17467439.54,23441965.06,17040096.64,19815735.27,23489533.94,21245083.26,17996567.99,18221474.35
54,Cuba,13687099.34,18654086.69,31304262.17,33116643.11,25586197.88,25944239.19,25847646.65,38172174.33,36000804.61,36666485.77
55,Curacao,8959081.16,13451949.3,8479289.05,4642370.44,4469849.92,4802344.02,4905856.33,3902100.56,6135376.08,6254458.4
56,Cyprus,886331.41,1702690.23,3259908.23,4643055.86,5864315.65,7108859.5,7972169.64,8017876.96,6902871.46,7307799.07
57,Czech Republic,99050713.09,154427521,184610208.3,164227402,131972060.9,126896914.3,125294530.7,117495552.1,104784558,106543295.2
