Index,CountryCode,Country,CityCode,City,Latitude,Longitude,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035
1,4,Afghanistan,20001,Herat,34.3482,62.1997,82.00 ,86.00 ,89.00 ,93.00 ,102.00 ,120.00 ,144.00 ,162.00 ,183.00 ,207.00 ,234.00 ,276.00 ,359.00 ,467.00 ,606.00 ,753.00 ,897.00 ,1058.00 
2,4,Afghanistan,20002,Kabul,34.5289,69.1725,171.00 ,221.00 ,285.00 ,369.00 ,472.00 ,674.00 ,978.00 ,1240.00 ,1549.00 ,1929.00 ,2401.00 ,2905.00 ,3289.00 ,3724.00 ,4222.00 ,4877.00 ,5737.00 ,6761.00 
3,4,Afghanistan,20003,Kandahar,31.6133,65.7101,82.00 ,90.00 ,98.00 ,107.00 ,127.00 ,154.00 ,183.00 ,207.00 ,233.00 ,263.00 ,297.00 ,337.00 ,383.00 ,437.00 ,498.00 ,577.00 ,679.00 ,800.00 
4,4,Afghanistan,20004,Mazar-eSharif,36.709,67.1109,30.00 ,37.00 ,46.00 ,57.00 ,70.00 ,87.00 ,106.00 ,120.00 ,135.00 ,153.00 ,172.00 ,206.00 ,284.00 ,389.00 ,533.00 ,682.00 ,816.00 ,962.00 
5,8,Albania,20005,Tiran?(Tirana),41.3275,19.8189,85.00 ,107.00 ,135.00 ,145.00 ,157.00 ,174.00 ,194.00 ,218.00 ,247.00 ,288.00 ,335.00 ,372.00 ,409.00 ,449.00 ,494.00 ,536.00 ,565.00 ,582.00 
6,12,Algeria,20009,Annaba,36.9,7.7667,100.00 ,116.00 ,136.00 ,159.00 ,192.00 ,234.00 ,267.00 ,295.00 ,313.00 ,324.00 ,334.00 ,339.00 ,345.00 ,351.00 ,358.00 ,379.00 ,410.00 ,439.00 
7,12,Algeria,20011,Batna,35.556,6.1741,13.00 ,21.00 ,33.00 ,52.00 ,71.00 ,94.00 ,124.00 ,165.00 ,198.00 ,225.00 ,249.00 ,267.00 ,286.00 ,307.00 ,329.00 ,358.00 ,390.00 ,417.00 
8,12,Algeria,20015,Blida,36.4808,2.8319,34.00 ,46.00 ,62.00 ,84.00 ,104.00 ,128.00 ,147.00 ,164.00 ,191.00 ,226.00 ,265.00 ,306.00 ,354.00 ,409.00 ,473.00 ,536.00 ,586.00 ,628.00 
9,12,Algeria,20006,ElDjaza?r(Algiers),36.7525,3.042,516.00 ,623.00 ,872.00 ,1081.00 ,1281.00 ,1507.00 ,1621.00 ,1672.00 ,1797.00 ,1973.00 ,2141.00 ,2282.00 ,2432.00 ,2592.00 ,2768.00 ,3004.00 ,3263.00 ,3496.00 
10,12,Algeria,20020,ElDjelfa,34.6728,3.263,10.00 ,14.00 ,18.00 ,25.00 ,33.00 ,43.00 ,57.00 ,76.00 ,101.00 ,134.00 ,176.00 ,230.00 ,299.00 ,389.00 ,503.00 ,607.00 ,671.00 ,720.00 
11,12,Algeria,20019,Qacentina,36.3549,6.6073,88.00 ,122.00 ,169.00 ,234.00 ,281.00 ,328.00 ,376.00 ,425.00 ,454.00 ,469.00 ,473.00 ,457.00 ,441.00 ,426.00 ,414.00 ,427.00 ,459.00 ,492.00 
12,12,Algeria,20037,S¨¦tif,36.1911,5.4137,41.00 ,53.00 ,67.00 ,85.00 ,103.00 ,122.00 ,142.00 ,163.00 ,181.00 ,200.00 ,220.00 ,240.00 ,262.00 ,287.00 ,313.00 ,345.00 ,375.00 ,402.00 
13,12,Algeria,20035,Wahran(Oran),35.6911,-0.6417,269.00 ,286.00 ,305.00 ,325.00 ,385.00 ,466.00 ,537.00 ,604.00 ,658.00 ,705.00 ,749.00 ,783.00 ,820.00 ,858.00 ,899.00 ,966.00 ,1048.00 ,1123.00 
14,24,Angola,895000001,Benguela,-12.576,13.405,14.00 ,18.00 ,23.00 ,30.00 ,40.00 ,66.00 ,113.00 ,168.00 ,207.00 ,254.00 ,313.00 ,385.00 ,473.00 ,582.00 ,715.00 ,878.00 ,1066.00 ,1274.00 
15,24,Angola,204043,Cabinda,-5.55,12.2,5.00 ,5.00 ,5.00 ,9.00 ,20.00 ,32.00 ,52.00 ,83.00 ,132.00 ,195.00 ,258.00 ,340.00 ,448.00 ,591.00 ,778.00 ,991.00 ,1210.00 ,1447.00 
16,24,Angola,895000011,Cuito,-12.383,16.933,9.00 ,10.00 ,13.00 ,15.00 ,19.00 ,26.00 ,36.00 ,51.00 ,71.00 ,99.00 ,139.00 ,195.00 ,274.00 ,384.00 ,535.00 ,704.00 ,865.00 ,1035.00 
17,24,Angola,20050,Huambo,-12.7761,15.7392,15.00 ,24.00 ,37.00 ,48.00 ,61.00 ,95.00 ,153.00 ,232.00 ,326.00 ,416.00 ,457.00 ,503.00 ,553.00 ,608.00 ,671.00 ,777.00 ,934.00 ,1116.00 
18,24,Angola,895000000,Lobito,-12.364,13.536,23.00 ,33.00 ,48.00 ,54.00 ,59.00 ,83.00 ,120.00 ,159.00 ,183.00 ,210.00 ,242.00 ,279.00 ,321.00 ,369.00 ,426.00 ,506.00 ,610.00 ,729.00 
19,24,Angola,20049,Luanda,-8.8368,13.2343,138.00 ,174.00 ,219.00 ,315.00 ,459.00 ,599.00 ,771.00 ,1035.00 ,1474.00 ,2066.00 ,2829.00 ,3872.00 ,5300.00 ,7023.00 ,8330.00 ,10028.00 ,12129.00 ,14495.00 
20,24,Angola,204044,Lubango,-14.9172,13.4925,12.00 ,13.00 ,15.00 ,21.00 ,31.00 ,46.00 ,69.00 ,104.00 ,157.00 ,222.00 ,289.00 ,376.00 ,490.00 ,637.00 ,828.00 ,1048.00 ,1278.00 ,1528.00 
21,24,Angola,895000004,Malanje,-9.54,16.341,9.00 ,13.00 ,18.00 ,24.00 ,31.00 ,42.00 ,57.00 ,77.00 ,105.00 ,143.00 ,195.00 ,265.00 ,360.00 ,490.00 ,665.00 ,861.00 ,1055.00 ,1262.00 
22,24,Angola,895000012,Uige,-7.1069,15.4406,3.00 ,4.00 ,6.00 ,8.00 ,12.00 ,17.00 ,25.00 ,36.00 ,53.00 ,77.00 ,113.00 ,165.00 ,240.00 ,351.00 ,511.00 ,687.00 ,847.00 ,1013.00 
23,32,Argentina,20057,BahiaBlanca,-38.7196,-62.2724,116.00 ,121.00 ,126.00 ,151.00 ,181.00 ,201.00 ,222.00 ,237.00 ,252.00 ,262.00 ,270.00 ,283.00 ,299.00 ,307.00 ,316.00 ,327.00 ,342.00 ,356.00 
24,32,Argentina,20058,BuenosAires,-34.6051,-58.4004,5166.00 ,5910.00 ,6762.00 ,7549.00 ,8416.00 ,9143.00 ,9920.00 ,10523.00 ,11148.00 ,11806.00 ,12504.00 ,13330.00 ,14246.00 ,14706.00 ,15154.00 ,15752.00 ,16456.00 ,17128.00 
25,32,Argentina,20059,C¨®rdoba,-31.4135,-64.1811,429.00 ,510.00 ,605.00 ,701.00 ,810.00 ,905.00 ,1010.00 ,1102.00 ,1200.00 ,1275.00 ,1348.00 ,1406.00 ,1459.00 ,1514.00 ,1572.00 ,1641.00 ,1715.00 ,1785.00 
26,32,Argentina,20063,Corrientes,-27.4806,-58.8341,64.00 ,79.00 ,97.00 ,115.00 ,136.00 ,156.00 ,179.00 ,212.00 ,250.00 ,280.00 ,308.00 ,333.00 ,356.00 ,381.00 ,408.00 ,433.00 ,453.00 ,472.00 
27,32,Argentina,20065,LaPlata,-34.9215,-57.9545,300.00 ,347.00 ,401.00 ,441.00 ,484.00 ,522.00 ,562.00 ,597.00 ,634.00 ,656.00 ,676.00 ,724.00 ,785.00 ,834.00 ,884.00 ,933.00 ,977.00 ,1017.00 
28,32,Argentina,20067,MarDelPlata,-38.0023,-57.5575,132.00 ,166.00 ,209.00 ,251.00 ,300.00 ,351.00 ,411.00 ,458.00 ,510.00 ,528.00 ,539.00 ,568.00 ,605.00 ,635.00 ,666.00 ,698.00 ,731.00 ,761.00 
29,32,Argentina,20068,Mendoza,-32.8908,-68.8272,246.00 ,284.00 ,328.00 ,394.00 ,473.00 ,537.00 ,608.00 ,680.00 ,759.00 ,802.00 ,838.00 ,903.00 ,985.00 ,1075.00 ,1173.00 ,1257.00 ,1320.00 ,1375.00 
30,32,Argentina,20070,Neuqu¨¦n-Plottier-Cipolletti,-38.9514,-68.0648,14.00 ,23.00 ,37.00 ,50.00 ,68.00 ,96.00 ,135.00 ,178.00 ,232.00 ,261.00 ,284.00 ,310.00 ,339.00 ,373.00 ,409.00 ,439.00 ,462.00 ,481.00 
31,32,Argentina,20072,Posadas,-27.3671,-55.8961,46.00 ,58.00 ,73.00 ,84.00 ,97.00 ,117.00 ,142.00 ,171.00 ,205.00 ,236.00 ,270.00 ,295.00 ,318.00 ,352.00 ,389.00 ,420.00 ,442.00 ,460.00 
32,32,Argentina,20073,Resistencia,-27.4606,-58.9839,73.00 ,87.00 ,105.00 ,122.00 ,142.00 ,175.00 ,217.00 ,249.00 ,284.00 ,316.00 ,350.00 ,370.00 ,385.00 ,408.00 ,432.00 ,456.00 ,478.00 ,498.00 
33,32,Argentina,20075,Rosario,-32.9468,-60.6393,554.00 ,610.00 ,671.00 ,740.00 ,816.00 ,883.00 ,953.00 ,1017.00 ,1084.00 ,1121.00 ,1152.00 ,1226.00 ,1321.00 ,1423.00 ,1532.00 ,1631.00 ,1711.00 ,1781.00 
34,32,Argentina,20076,Salta,-24.7859,-65.4117,77.00 ,95.00 ,117.00 ,143.00 ,174.00 ,212.00 ,258.00 ,304.00 ,357.00 ,407.00 ,462.00 ,513.00 ,565.00 ,622.00 ,685.00 ,738.00 ,775.00 ,807.00 
35,32,Argentina,20078,SanJuan,-31.5375,-68.5364,108.00 ,127.00 ,149.00 ,181.00 ,220.00 ,253.00 ,289.00 ,322.00 ,359.00 ,387.00 ,414.00 ,451.00 ,495.00 ,516.00 ,537.00 ,561.00 ,586.00 ,610.00 
36,32,Argentina,20081,SanMigueldeTucum¨¢n,-26.8241,-65.2226,224.00 ,260.00 ,301.00 ,332.00 ,365.00 ,424.00 ,494.00 ,550.00 ,611.00 ,666.00 ,722.00 ,781.00 ,844.00 ,913.00 ,986.00 ,1051.00 ,1103.00 ,1148.00 
37,32,Argentina,20084,SanSalvadordeJujuy,-24.1946,-65.2971,34.00 ,39.00 ,44.00 ,59.00 ,81.00 ,101.00 ,124.00 ,148.00 ,177.00 ,216.00 ,263.00 ,293.00 ,314.00 ,337.00 ,361.00 ,384.00 ,402.00 ,419.00 
38,32,Argentina,20085,SantaFe,-31.6327,-60.6983,214.00 ,239.00 ,266.00 ,288.00 ,313.00 ,347.00 ,386.00 ,392.00 ,396.00 ,420.00 ,450.00 ,473.00 ,494.00 ,527.00 ,563.00 ,596.00 ,625.00 ,651.00 
39,32,Argentina,20086,SantiagoDelEstero,-27.7951,-64.2615,83.00 ,93.00 ,104.00 ,120.00 ,139.00 ,165.00 ,196.00 ,225.00 ,258.00 ,288.00 ,319.00 ,347.00 ,374.00 ,404.00 ,436.00 ,464.00 ,487.00 ,507.00 
40,51,Armenia,20140,Yerevan,40.182,44.5146,341.00 ,431.00 ,538.00 ,648.00 ,778.00 ,911.00 ,1042.00 ,1123.00 ,1175.00 ,1142.00 ,1111.00 ,1087.00 ,1066.00 ,1071.00 ,1086.00 ,1100.00 ,1114.00 ,1130.00 
41,36,Australia,206171,Adelaide,-34.9287,138.5986,429.00 ,497.00 ,572.00 ,697.00 ,850.00 ,929.00 ,972.00 ,1024.00 ,1082.00 ,1112.00 ,1122.00 ,1155.00 ,1222.00 ,1284.00 ,1336.00 ,1393.00 ,1472.00 ,1553.00 
42,36,Australia,206170,Brisbane,-27.4679,153.0281,442.00 ,518.00 ,603.00 ,699.00 ,905.00 ,1037.00 ,1135.00 ,1242.00 ,1381.00 ,1529.00 ,1611.00 ,1786.00 ,2009.00 ,2213.00 ,2406.00 ,2568.00 ,2724.00 ,2876.00 
43,36,Australia,206175,Canberra,-35.2835,149.1281,20.00 ,31.00 ,51.00 ,84.00 ,137.00 ,195.00 ,223.00 ,252.00 ,282.00 ,305.00 ,344.00 ,366.00 ,398.00 ,429.00 ,457.00 ,483.00 ,511.00 ,540.00 
44,36,Australia,895000015,CentralCoast,-33.42,151.3958,72.00 ,82.00 ,94.00 ,108.00 ,124.00 ,142.00 ,162.00 ,186.00 ,213.00 ,244.00 ,279.00 ,294.00 ,311.00 ,325.00 ,335.00 ,347.00 ,367.00 ,387.00 
45,36,Australia,20093,GoldCoast-TweedHead,-28.0003,153.4309,29.00 ,38.00 ,50.00 ,65.00 ,84.00 ,110.00 ,144.00 ,188.00 ,247.00 ,314.00 ,410.00 ,494.00 ,566.00 ,633.00 ,699.00 ,753.00 ,799.00 ,844.00 
46,36,Australia,206168,Melbourne,-37.814,144.9633,1332.00 ,1574.00 ,1851.00 ,2068.00 ,2499.00 ,2732.00 ,2839.00 ,2969.00 ,3154.00 ,3283.00 ,3361.00 ,3573.00 ,3932.00 ,4430.00 ,4968.00 ,5392.00 ,5736.00 ,6056.00 
47,36,Australia,206177,Newcastle-Maitland,-32.9249,151.7409,161.00 ,182.00 ,204.00 ,229.00 ,247.00 ,260.00 ,290.00 ,297.00 ,308.00 ,317.00 ,365.00 ,389.00 ,411.00 ,432.00 ,450.00 ,470.00 ,496.00 ,524.00 
48,36,Australia,206172,Perth,-31.9478,115.8525,311.00 ,358.00 ,409.00 ,483.00 ,688.00 ,825.00 ,922.00 ,1048.00 ,1195.00 ,1319.00 ,1407.00 ,1511.00 ,1722.00 ,1894.00 ,2042.00 ,2169.00 ,2299.00 ,2427.00 
49,36,Australia,20098,SunshineCoast,-26.6601,153.0995,10.00 ,14.00 ,20.00 ,29.00 ,42.00 ,60.00 ,86.00 ,111.00 ,151.00 ,198.00 ,212.00 ,244.00 ,275.00 ,310.00 ,347.00 ,376.00 ,400.00 ,422.00 
50,36,Australia,206167,Sydney,-33.8679,151.2073,1690.00 ,1906.00 ,2135.00 ,2390.00 ,2892.00 ,3118.00 ,3252.00 ,3432.00 ,3632.00 ,3819.00 ,3780.00 ,3875.00 ,4166.00 ,4544.00 ,4926.00 ,5249.00 ,5566.00 ,5875.00 
51,36,Australia,20101,Wollongong,-34.424,150.8935,73.00 ,96.00 ,125.00 ,156.00 ,181.00 ,206.00 ,227.00 ,233.00 ,242.00 ,254.00 ,260.00 ,265.00 ,278.00 ,293.00 ,305.00 ,319.00 ,337.00 ,355.00 
52,40,Austria,20107,Wien(Vienna),48.2064,16.3707,1615.00 ,1621.00 ,1627.00 ,1624.00 ,1621.00 ,1583.00 ,1539.00 ,1535.00 ,1539.00 ,1544.00 ,1549.00 ,1641.00 ,1731.00 ,1835.00 ,1930.00 ,2005.00 ,2080.00 ,2154.00 
53,31,Azerbaijan,20053,Baku,40.3777,49.892,897.00 ,940.00 ,1005.00 ,1132.00 ,1274.00 ,1429.00 ,1574.00 ,1660.00 ,1733.00 ,1766.00 ,1806.00 ,1867.00 ,2062.00 ,2206.00 ,2341.00 ,2496.00 ,2659.00 ,2821.00 
54,31,Azerbaijan,20054,G?nc?,40.6828,46.3606,108.00 ,113.00 ,124.00 ,155.00 ,192.00 ,214.00 ,238.00 ,260.00 ,279.00 ,291.00 ,300.00 ,306.00 ,315.00 ,328.00 ,341.00 ,360.00 ,382.00 ,406.00 
55,31,Azerbaijan,20056,Sumquayit,40.5897,49.6686,20.00 ,35.00 ,58.00 ,87.00 ,127.00 ,161.00 ,195.00 ,215.00 ,238.00 ,263.00 ,286.00 ,296.00 ,313.00 ,333.00 ,354.00 ,378.00 ,403.00 ,427.00 
56,48,Bahrain,20109,Al-Manamah(Manama),26.2154,50.5832,40.00 ,51.00 ,65.00 ,80.00 ,88.00 ,99.00 ,113.00 ,120.00 ,126.00 ,133.00 ,142.00 ,198.00 ,292.00 ,441.00 ,635.00 ,743.00 ,818.00 ,870.00 
57,50,Bangladesh,20110,Barisal,22.7019,90.3711,71.00 ,77.00 ,83.00 ,94.00 ,107.00 ,128.00 ,175.00 ,197.00 ,215.00 ,231.00 ,248.00 ,290.00 ,344.00 ,408.00 ,484.00 ,565.00 ,643.00 ,716.00 
58,50,Bangladesh,20112,Bogra,24.85,89.3667,34.00 ,39.00 ,45.00 ,51.00 ,58.00 ,70.00 ,96.00 ,128.00 ,170.00 ,196.00 ,220.00 ,297.00 ,409.00 ,565.00 ,775.00 ,981.00 ,1132.00 ,1260.00 
59,50,Bangladesh,20115,Chittagong,22.3331,91.8364,289.00 ,323.00 ,360.00 ,503.00 ,723.00 ,1017.00 ,1340.00 ,1655.00 ,2023.00 ,2578.00 ,3308.00 ,3717.00 ,4106.00 ,4536.00 ,5020.00 ,5653.00 ,6393.00 ,7110.00 
60,50,Bangladesh,20117,Comilla,23.4578,91.2044,79.00 ,84.00 ,90.00 ,106.00 ,127.00 ,157.00 ,218.00 ,234.00 ,241.00 ,264.00 ,292.00 ,346.00 ,413.00 ,493.00 ,589.00 ,691.00 ,787.00 ,875.00 
61,50,Bangladesh,20119,Dhaka,23.7104,90.4074,336.00 ,409.00 ,508.00 ,821.00 ,1374.00 ,2221.00 ,3266.00 ,4660.00 ,6621.00 ,8332.00 ,10285.00 ,12331.00 ,14731.00 ,17597.00 ,21006.00 ,24653.00 ,28076.00 ,31234.00 
62,50,Bangladesh,20124,Khulna,22.8098,89.5644,61.00 ,87.00 ,123.00 ,194.00 ,310.00 ,472.00 ,627.00 ,790.00 ,985.00 ,1117.00 ,1247.00 ,1182.00 ,1098.00 ,1020.00 ,954.00 ,980.00 ,1091.00 ,1213.00 
63,50,Bangladesh,20126,Mymensingh,24.75,90.4,65.00 ,71.00 ,77.00 ,87.00 ,100.00 ,118.00 ,148.00 ,203.00 ,281.00 ,319.00 ,350.00 ,375.00 ,401.00 ,429.00 ,460.00 ,509.00 ,574.00 ,638.00 
64,50,Bangladesh,20131,Rajshahi,24.3667,88.6,39.00 ,47.00 ,56.00 ,76.00 ,105.00 ,150.00 ,238.00 ,354.00 ,521.00 ,606.00 ,678.00 ,732.00 ,786.00 ,843.00 ,908.00 ,1007.00 ,1136.00 ,1263.00 
65,50,Bangladesh,20132,Rangpur,25.75,89.25,34.00 ,39.00 ,44.00 ,54.00 ,68.00 ,89.00 ,134.00 ,173.00 ,217.00 ,248.00 ,279.00 ,307.00 ,337.00 ,370.00 ,407.00 ,457.00 ,516.00 ,574.00 
