Index,Country,Y1960,Y1970,Y1980,Y1990,Y2000,Y2010,Y2018
0,Afghanistan,8.401,11.643,15.995,21.177,22.078,23.737,25.495
1,Albania,30.705,31.74,33.762,36.428,41.741,52.163,60.319
2,Algeria,30.51,39.5,43.542,52.085,59.919,67.54,72.629
3,Andorra,58.45,80.155,92.064,94.712,92.395,88.819,88.062
4,Angola,10.435,14.957,24.298,37.144,50.087,59.783,65.514
5,Antigua and Barbuda,39.656,33.819,34.618,35.426,32.127,26.238,24.599
6,Argentina,73.611,78.88,82.887,86.984,89.142,90.849,91.87
7,Armenia,51.275,59.864,66.05,67.421,64.666,63.44,63.149
8,Australia,81.529,83.999,85.552,85.433,84.235,85.182,86.012
9,Austria,64.72,65.258,65.391,62.96,60.213,57.399,58.297
10,Azerbaijan,52.663,50.008,52.777,53.749,51.386,53.406,55.68
11,The Bahamas,59.712,66.764,73.102,79.838,82.007,82.427,83.025
12,Bahrain,82.32,83.775,86.101,88.14,88.372,88.634,89.287
13,Bangladesh,5.135,7.593,14.851,19.811,23.59,30.462,36.632
14,Barbados,36.777,37.55,40.102,37.37,33.827,31.87,31.147
15,Belarus,32.401,44.01,56.498,65.981,69.973,74.672,78.595
16,Belgium,92.46,93.843,95.381,96.377,97.129,97.651,98.001
17,Belize,54.028,50.963,49.374,47.465,45.398,45.228,45.724
18,Benin,9.275,16.691,27.339,34.485,38.333,43.093,47.312
19,Bhutan,3.596,6.089,10.132,16.388,25.418,34.793,40.895
20,Bolivia,36.762,39.776,45.451,55.577,61.787,66.43,69.425
21,Bosnia and Herzegovina,19.04,27.201,35.543,39.249,42.384,45.558,48.245
22,Botswana,3.06,7.834,16.479,41.933,53.219,62.412,69.446
23,Brazil,46.139,55.909,65.468,73.922,81.192,84.335,86.569
24,Brunei,43.401,61.675,64.949,66.438,71.164,74.961,77.629
25,Bulgaria,37.1,52.3,62.1,66.377,68.899,72.302,75.008
26,Burkina Faso,4.7,5.746,8.805,13.815,17.844,24.633,29.358
27,Burundi,2.077,2.845,4.339,6.271,8.246,10.642,13.032
28,Cabo Verde,16.679,19.559,23.518,44.12,53.435,61.821,65.732
29,Cambodia,10.285,15.97,9.898,15.546,18.586,20.294,23.388
30,Cameroon,13.937,20.3,31.921,39.657,45.542,51.559,56.374
31,Canada,69.061,75.654,75.663,76.582,79.478,80.937,81.411
32,Central African Republic,20.1,27.492,33.874,36.825,37.639,38.904,41.364
33,Chad,6.695,11.568,18.787,20.811,21.637,21.985,23.059
34,Chile,67.836,75.227,81.243,83.271,86.073,87.074,87.564
35,China,16.203,17.4,19.358,26.442,35.877,49.226,59.152
36,Colombia,46.268,56.635,63.738,69.481,73.957,77.964,80.778
37,Comoros,12.551,19.39,23.215,27.869,28.08,27.973,28.965
38,Costa Rica,34.254,38.827,43.099,50.003,59.052,71.736,79.34
39,Ivory Coast,17.679,28.163,36.829,39.345,43.155,47.33,50.779
40,Croatia,30.154,40.196,47.285,51.037,53.428,55.155,56.947
41,Cuba,58.401,60.266,68.106,73.364,75.323,76.597,77.037
42,Cyprus,35.628,40.761,58.614,66.776,68.648,67.551,66.81
43,Czechia,59.548,64.402,75.167,75.22,73.988,73.255,73.792
44,Democratic Republic of the Congo,22.3,24.608,27.072,30.633,35.122,40.013,44.46
45,Denmark,73.687,79.737,83.723,84.843,85.1,86.795,87.874
46,Djibouti,50.325,61.777,72.096,75.957,76.532,76.999,77.777
47,Dominica,37.846,38.683,46.759,63.079,65.265,68.094,70.483
48,Dominican Republic,30.191,40.274,51.29,55.226,61.753,73.753,81.074
49,Ecuador,33.878,39.278,46.961,55.09,60.299,62.69,63.821
50,Egypt,37.864,41.477,43.858,43.478,42.797,43.019,42.704
51,El Salvador,38.354,39.439,44.099,49.274,58.912,65.452,72.023
52,Equatorial Guinea,25.537,26.954,27.872,34.745,49.092,65.94,72.143
53,Estonia,57.533,64.947,69.711,71.231,69.368,68.094,68.88
54,Ethiopia,6.433,8.588,10.41,12.621,14.74,17.319,20.763
55,Fiji,29.681,34.758,37.769,41.611,47.908,52.171,56.248
56,Finland,55.29,63.704,71.727,79.367,82.183,83.77,85.382
57,France,61.88,71.055,73.282,74.056,75.871,78.369,80.444
